id,name,name_local,summary,type,focus,leadership,mode,country,country_name,region,lat,lng,languages,url,source_url,founded,added,verified,added_by,notes
disfam-argentina,DISFAM Argentina,,"The Argentine chapter of the international DISFAM dyslexia network, raising awareness of dyslexia and other learning disabilities and pushing schools and education ministries toward detection and support protocols since 2013.",advocacy,dyslexia|learning-disabilities,ally-led,hybrid,AR,Argentina,"Pilar, Buenos Aires Province",-34.45,-58.91,es,https://www.disfamargentina.org/,https://disfam.org/argentina/,2013,2026-09-08,2026-09-08,editorial,"Founded by parents, teachers and health professionals; part of the Spain-headquartered international DISFAM network, not an independent Argentine organization."
fubipa-argentina,FUBIPA (Argentine Bipolar Foundation),Fundación Bipolares de la República Argentina,"A Buenos Aires mutual-aid foundation for people with bipolar disorder and their families, running free peer support groups since 1989 alongside professional-led psychoeducation workshops.",community,bipolar,mixed,hybrid,AR,Argentina,"Buenos Aires, CABA",-34.62,-58.4,es,https://fubipa.org.ar/,https://fubipa.org.ar/nuestra-historia/,1989,2026-09-08,2026-09-08,editorial,"Founded by two psychiatrists, two people with bipolar disorder, and a family member; describes itself as the oldest volunteer association for serious mental disorders in Latin America. Peer-run mutual-aid groups; governing council traditionally chaired by a professional."
locura-en-argentina,Mad in Argentina,Locura en Argentina,"An editorial platform on mad culture, mental health and neurodiversity in Argentina, part of the international Mad in the World network, publishing essays and interviews from activists, journalists and a national disability-agency staffer.",media,mad-pride|neurodiversity-general,mixed,online,AR,Argentina,Buenos Aires (national scope),-34.64,-58.44,es,https://locuraenargentina.org/,https://locuraenargentina.org/,,2026-09-08,2026-09-08,editorial,Team includes a self-described Latin American mad-movement activist alongside journalists; actively publishing as of September 2026.
orgullo-loco-buenos-aires,Mad Pride Buenos Aires (Orgullo Loco),Orgullo Loco Buenos Aires,"A Buenos Aires platform of mutual support and activism run by neurodivergent and psychiatric-survivor people, organizing around Mad Pride to contest psychiatric stigma, pathologization and institutionalization.",advocacy,mad-pride|neurodiversity-general,nd-led,hybrid,AR,Argentina,"Buenos Aires, CABA",-34.6,-58.38,es,https://www.facebook.com/orgullolocoba/,https://www.facebook.com/orgullolocoba/,,2026-09-08,2026-09-08,editorial,Self-describes as a platform of association and mutual support formed by neurodivergent people; corroborated by Pikara Magazine and academic literature on the Latin American Orgullo Loco movement. Facebook is its only confirmed public presence.
amaze,Amaze,,"Victoria's peak autism body, providing information, advocacy, and support for autistic people and their families.",advocacy,autism,mixed,hybrid,AU,Australia,"Melbourne, Victoria",-37.8,144.95,en,https://www.amaze.org.au/,https://www.amaze.org.au/about-amaze/our-board/,,2026-09-08,2026-09-08,editorial,Board includes at least one autistic member alongside parents of autistic adults; not stated as autistic-led.
autism-crc,Autism CRC (Cooperative Research Centre for Living with Autism),,"University of Queensland-based Australian research centre, established in 2013, co-funding participatory autism research and programmes such as the DXC Dandelion employment programme.",research,autism,mixed,hybrid,AU,Australia,"Brisbane, Queensland",-27.5,153.01,en,https://www.autismcrc.com.au/,https://www.autismcrc.com.au/,2013,2026-09-08,2026-09-08,editorial,"Academic-run, not self-advocate-led."
asan-aunz,Autistic Self Advocacy Network Australia and New Zealand (ASAN AUNZ),,Grassroots autistic-led advocacy network doing systemic advocacy and self-advocacy skill-building across Australia and New Zealand.,advocacy,autism|neurodiversity-general,nd-led,online,AU,Australia,"Melbourne, Victoria",-37.81,144.96,en,https://www.asan-aunz.org/,https://www.asan-aunz.org/,,2026-09-08,2026-09-08,editorial,Binational (Australia and New Zealand); member of the Australian Autism Alliance; organisationally distinct from ASAN in the USA.
dxc-dandelion-program,DXC Dandelion Program,,"Corporate autism employment initiative run by DXC Technology since 2014, in partnership with universities and Autism CRC, with 17 teams and over 250 autistic employees across Australia.",work,autism,ally-led,physical,AU,Australia,"Sydney, New South Wales",-33.88,151.2,en,https://dxc.com/au/en/about-us/social-impact-practice/dxc-dandelion-program,https://dxc.com/au/en/about-us/social-impact-practice/dxc-dandelion-program,2014,2026-09-08,2026-09-08,editorial,"Reports 92% retention rate among autistic employees; a corporate CSR programme, not autistic-led."
i-can-network,I CAN Network,,Autistic-led group mentoring organisation delivering school-based and online mentoring programmes for autistic and neurodivergent young people in Australia and New Zealand.,education,autism|neurodiversity-general,nd-led,hybrid,AU,Australia,"Geelong, Victoria",-38.15,144.36,en,https://icannetwork.online/,https://icannetwork.online/about-i-can-network/,2013,2026-09-08,2026-09-08,editorial,Founder is autistic; reports 77% of staff are autistic and requires a minimum of half; reaches both Australia and New Zealand.
rawcus,Rawcus,,Melbourne ensemble theatre company creating devised performance work with an ensemble of performers with and without disability.,arts,intellectual-disability|neurodiversity-general,mixed,physical,AU,Australia,"Melbourne, Victoria",-37.82,144.96,en,https://rawcus.org.au/,https://rawcus.org.au/about-us/,2000,2026-09-08,2026-09-08,editorial,"Originated via a partnership between Theatreworks, disability organisation Scope, and the City of Port Phillip. Site returns 406 to a bare curl user agent."
